B703,scroll                                   ,mapProperties:exclude
BAF4,door,torizo                              ,mapProperties:door:gray
C826,gate,shutter,open                        ,mapProperties:upgate:gray
C82A,gate,shutter,closed                      ,mapProperties:downgate:gray
C836,gate,top,trigger                         ,mapProperties:gateswitch:aqua:red:green:yellow
C842,door,gray,locked,left                    ,mapProperties:doorLR:gray
C848,door,gray,locked,right                   ,mapProperties:doorLR:gray
C84E,door,gray,locked,up                      ,mapProperties:doorUD:gray
C854,door,gray,locked,down                    ,mapProperties:doorUD:gray
C85A,door,yellow,powerbomb,pb,left            ,mapProperties:doorLR:orange
C860,door,yellow,powerbomb,pb,right           ,mapProperties:doorLR:orange
C866,door,yellow,powerbomb,pb,up              ,mapProperties:doorUD:orange
C86C,door,yellow,powerbomb,pb,down            ,mapProperties:doorUD:orange
C872,door,green,super,left                    ,mapProperties:doorLR:green
C878,door,green,super,right                   ,mapProperties:doorLR:green
C87E,door,green,super,up                      ,mapProperties:doorUD:green
C884,door,green,super,down                    ,mapProperties:doorUD:green
C88A,door,red,missile,left                    ,mapProperties:doorLR:red
C890,door,red,missile,right                   ,mapProperties:doorLR:red
C896,door,red,missile,up                      ,mapProperties:doorUD:red
C89C,door,red,missile,down                    ,mapProperties:doorUD:red
EED7,Energy,tank                              ,mapProperties:item:yellow
EEDB,Missile,tank                             ,mapProperties:item:yellow
EEDF,Super,missile,tank                       ,mapProperties:item:yellow
EEE3,Power,bomb,tank                          ,mapProperties:item:yellow
EEE7,Bombs,bomb                               ,mapProperties:item:yellow
EEEB,Charge,beam                              ,mapProperties:item:yellow
EEEF,Ice,beam                                 ,mapProperties:item:yellow
EEF3,Hi-jump,jump,high                        ,mapProperties:item:yellow
EEF7,Speed,booster                            ,mapProperties:item:yellow
EEFB,Wave,beam                                ,mapProperties:item:yellow
EEFF,Spazer,beam                              ,mapProperties:item:yellow
EF03,Spring,ball                              ,mapProperties:item:yellow
EF07,Varia,suit                               ,mapProperties:item:yellow
EF0B,Gravity,suit                             ,mapProperties:item:yellow
EF0F,X-ray,scope,xray                         ,mapProperties:item:yellow
EF13,Plasma,beam                              ,mapProperties:item:yellow
EF17,Grapple,beam                             ,mapProperties:item:yellow
EF1B,Space,jump                               ,mapProperties:item:yellow
EF1F,Screw,attack                             ,mapProperties:item:yellow
EF23,Morph,ball                               ,mapProperties:item:yellow
EF27,Reserve,tank                             ,mapProperties:item:yellow
EF2B,Energy,tank,chozo,orb                    ,mapProperties:item:yellow
EF2F,Missile,tank,chozo,orb                   ,mapProperties:item:yellow
EF33,Super,missile,tank,chozo,orb             ,mapProperties:item:yellow
EF37,Power,bomb,tank,chozo,orb                ,mapProperties:item:yellow
EF3B,Bombs,chozo,orb                          ,mapProperties:item:yellow
EF3F,Charge,beam,chozo,orb                    ,mapProperties:item:yellow
EF43,Ice,beam,chozo,orb                       ,mapProperties:item:yellow
EF47,Hi-jump,jump,high,chozo,orb              ,mapProperties:item:yellow
EF4B,Speed,booster,chozo,orb                  ,mapProperties:item:yellow
EF4F,Wave,beam,chozo,orb                      ,mapProperties:item:yellow
EF53,Spazer,beam,chozo,orb                    ,mapProperties:item:yellow
EF57,Spring,ball,chozo,orb                    ,mapProperties:item:yellow
EF5B,Varia,suit,chozo,orb                     ,mapProperties:item:yellow
EF5F,Gravity,suit,chozo,orb                   ,mapProperties:item:yellow
EF63,X-ray,scope,chozo,orb                    ,mapProperties:item:yellow
EF67,Plasma,beam,chozo,orb                    ,mapProperties:item:yellow
EF6B,Grapple,beam,chozo,orb                   ,mapProperties:item:yellow
EF6F,Space,jump,chozo,orb                     ,mapProperties:item:yellow
EF73,Screw,attack,chozo,orb                   ,mapProperties:item:yellow
EF77,Morph,ball,chozo,orb                     ,mapProperties:item:yellow
EF7B,Reserve,tank,chozo,orb                   ,mapProperties:item:yellow
EF7F,Energy,tank,shot,block,hidden            ,mapProperties:item:yellow
EF83,Missile,tank,shot,block,hidden           ,mapProperties:item:yellow
EF87,Super,missile,tank,shot,block,hidden     ,mapProperties:item:yellow
EF8B,Power,bomb,tank,shot,block,hidden        ,mapProperties:item:yellow
EF8F,Bombs,shot,block,hidden                  ,mapProperties:item:yellow
EF93,Charge,beam,shot,block,hidden            ,mapProperties:item:yellow
EF97,Ice,beam,shot,block,hidden               ,mapProperties:item:yellow
EF9B,Hi-jump,jump,high,shot,block,hidden      ,mapProperties:item:yellow
EF9F,Speed,booster,shot,block,hidden          ,mapProperties:item:yellow
EFA3,Wave,beam,shot,block,hidden              ,mapProperties:item:yellow
EFA7,Spazer,beam,shot,block,hidden            ,mapProperties:item:yellow
EFAB,Spring,ball,shot,block,hidden            ,mapProperties:item:yellow
EFAF,Varia,suit,shot,block,hidden             ,mapProperties:item:yellow
EFB3,Gravity,suit,shot,block,hidden           ,mapProperties:item:yellow
EFB7,X-ray,scope,shot,block,hidden            ,mapProperties:item:yellow
EFBB,Plasma,beam,shot,block,hidden            ,mapProperties:item:yellow
EFBF,Grapple,beam,shot,block,hidden           ,mapProperties:item:yellow
EFC3,Space,jump,shot,block,hidden             ,mapProperties:item:yellow
EFC7,Screw,attack,shot,block,hidden           ,mapProperties:item:yellow
EFCB,Morph,ball,shot,block,hidden             ,mapProperties:item:yellow
EFCF,Reserve,tank,shot,block,hidden           ,mapProperties:item:yellow
